id,turniir,algushetk,lopphetk,valge,must,valge_tulemus,musta_tulemus,kokkuvote
1,41,'2005-01-12 08:02:00.000','2005-01-12 08:19:28.000',73,92,1,1,
2,41,'2005-01-12 08:04:00.000','2005-01-12 08:35:35.000',77,87,2,0,
3,41,'2005-01-12 09:01:00.000','2005-01-12 09:26:50.000',78,77,2,0,
4,41,'2005-01-12 09:03:00.000','2005-01-12 09:21:57.000',88,92,1,1,
5,41,'2005-01-12 09:03:00.000','2005-01-12 09:30:53.000',75,79,2,0,
6,41,'2005-01-12 10:04:00.000','2005-01-12 10:33:03.000',92,79,2,0,
7,41,'2005-01-12 10:04:00.000','2005-01-12 10:28:23.000',80,79,1,1,
8,41,'2005-01-12 10:05:00.000','2005-01-12 10:29:15.000',93,87,1,1,
9,41,'2005-01-12 11:03:00.000','2005-01-12 11:31:54.000',75,80,2,0,
10,41,'2005-01-12 11:08:00.000','2005-01-12 11:35:48.000',78,92,2,0,
11,41,'2005-01-12 12:02:00.000','2005-01-12 12:25:05.000',92,87,2,0,
12,41,'2005-01-12 12:04:00.000','2005-01-12 12:22:23.000',73,79,0,2,
13,41,'2005-01-12 12:09:00.000','2005-01-12 12:41:36.000',77,74,1,1,
14,41,'2005-01-12 13:04:00.000','2005-01-12 13:29:53.000',88,80,0,2,
15,41,'2005-01-12 13:07:00.000','2005-01-12 13:32:46.000',78,74,0,2,
16,41,'2005-01-12 13:09:00.000','2005-01-12 13:32:17.000',93,75,0,2,
17,41,'2005-01-12 14:05:00.000','2005-01-12 14:31:47.000',78,75,0,2,
18,41,'2005-01-12 14:06:00.000','2005-01-12 14:24:26.000',73,74,2,0,
19,41,'2005-01-12 16:02:00.000','2005-01-12 16:14:40.000',77,73,0,2,
20,41,'2005-01-12 16:02:00.000','2005-01-12 16:24:07.000',92,75,1,1,
21,41,'2005-01-12 16:02:00.000','2005-01-12 16:24:16.000',93,74,0,2,
22,41,'2005-01-12 16:05:00.000','2005-01-12 16:31:44.000',78,80,1,1,
23,41,'2005-01-12 17:02:00.000','2005-01-12 17:14:43.000',78,79,1,1,
24,41,'2005-01-12 17:03:00.000','2005-01-12 17:22:58.000',88,93,1,1,
25,41,'2005-01-12 17:03:00.000','2005-01-12 17:26:14.000',93,80,1,1,
